codigo,nome,cientifico,grupo,Alfa-tocoferol (Vitamina E) (mg),Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g),Cinzas (g),Cobre (mg),Colesterol (g),Colesterol (mg),Cálcio (mg),Energia (kJ),Energia (kcal),Equivalente de folato (mcg),Ferro (mg),Fibra alimentar (g),Fósforo (mg),Gordura de adição (g),Lipídios (g),Magnésio (mg),Niacina (mg),Potássio (mg),Proteína (g),Proteína animal (g),Proteína vegetal (g),Riboflavina (mg),Sal de adição (g),Selênio (mcg),Sódio (mg),Tiamina (mg),Umidade (g),Vitamina A (RAE) (mcg),Vitamina A (RE) (mcg),Vitamina B12 (mcg),Vitamina B6 (mg),Vitamina C (mg),Vitamina D (mcg),Zinco (mg),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos saturados (g),Ácidos graxos trans (g),Álcool (g)
C0113T,"Orelha-de-padre, semente, seca, remolho em água, cozida, drenada, s/ óleo, s/ sal, Lablab purpureus (L) Sweet,",,Leguminosas e derivados,,0.00,16.9,23.1,1.22,0.37,,0.00,14.1,510,121,4.00,1.92,6.20,123,,0.58,136,0.71,488,8.91,,,0.04,0.00,,6.00,0.17,66.2,0.17,0.33,0.00,0.04,0.00,0.00,1.93,0.04,0.24,0.17,,0.00
C0682B,"Lasanha, berinjela, c/ frios, caseira, c/ sal, (berinjela grelhada, c/ muçarela, presunto, c/ molho de tomate (tomate, c/ óleo, cebola e alho) c/ sal),",,Vegetais e derivados,0.41,0.00,2.59,4.78,2.16,0.09,,17.5,128,385,92,12.9,0.39,2.18,135,,5.62,19.1,0.58,246,6.79,,,0.07,0.47,3.93,524,0.13,80.7,36.6,58.0,0.42,0.01,6.04,0.08,0.94,1.41,0.84,2.51,0.13,0.00
C0429N,"Papa de batata doce e banana, s/ açúcar,",,Alimentos para fins especiais,0.62,0.00,22.4,24.9,0.62,0.08,,0.00,12.9,426,101,15.2,0.28,2.49,21.2,,0.18,22.5,1.62,266,1.06,,,0.00,0.00,0.17,1.69,0.05,73.2,357,715,0.00,0.09,20.6,0.00,0.16,0.00,0.04,0.05,0.00,0.00
C0058A,"Biscoito, salgado, água e sal, Tostines,",,Cereais e derivados,,,64.5,67.4,2.93,0.00,,,20.1,1857,442,39.7,2.21,2.90,149,,14.7,39.9,7.17,181,11.4,,,0.13,,,858,0.71,3.57,0.00,0.00,0.00,0.17,0.00,0.00,1.14,4.68,2.95,4.48,1.83,0.00
C0100A,"Cereal matinal, milho,",,Cereais e derivados,0.71,,79.7,83.8,2.54,0.06,,0.00,142,1545,364,287,3.05,4.12,100,,0.96,10.9,11.0,83.1,7.16,,,1.02,,6.20,654,0.76,5.53,15.5,30.9,3.00,2.25,17.3,7.00,7.63,0.32,0.33,0.36,,0.00
C1014B,"Salada, repolho branco, c/ maionese, c/ uva passa, s/ sal,",,Vegetais e derivados,0.37,,6.27,8.17,0.78,0.06,,4.25,35.8,261,63,29.7,0.18,1.90,22.1,,3.22,11.3,0.04,219,1.17,,,0.04,,0.26,83.8,,86.7,44.2,87.6,0.01,0.06,19.1,0.00,0.17,0.66,1.58,0.47,0.02,0.00
C0529A,"Arroz com lentilha, c/ arroz polido, s/ sal, (arroz polido, c/ lentilha, tomate, linguiça, c/ óleo, cebola e alho, s/ sal),",,Cereais e derivados,0.41,0.00,18.1,20.3,1.07,0.14,,6.97,9.45,609,145,33.6,0.68,2.24,54.9,,5.26,21.2,0.42,139,5.24,,,0.03,0.00,0.93,163,0.06,68.1,8.91,17.8,0.20,0.05,3.28,0.11,0.82,1.80,1.76,1.36,0.01,0.00
C0592A,"Canelone, c/ muçarela, c/ molho branco, caseiro, c/ sal, (massa com farinha de trigo, c/ muçarela, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal),",,Cereais e derivados,0.41,0.00,13.3,13.9,2.78,0.06,,48.8,419,1027,246,35.5,0.83,0.54,269,,14.8,15.8,1.64,92.2,14.6,,,0.17,0.47,2.56,520,0.03,53.9,21.4,21.7,1.33,0.00,0.00,0.05,2.04,3.64,0.85,8.26,0.43,0.00
C0006A,"Milho, verde, grão, cru (média de diferentes amostras), Zea may,",,Cereais e derivados,0.03,0.00,24.6,28.6,0.71,0.05,,0.00,1.96,585,138,63.9,1.14,3.92,112,,0.61,26.7,,184,6.59,,,,0.00,0.50,1.12,0.30,63.5,17.9,35.8,0.00,0.04,,0.00,0.52,0.10,0.29,0.10,0.00,0.00
C0416B,"Salada, abóbora cabotian (japonesa) cozida, cebola, salsa, c/ azeite de oliva, s/ sal,",,Vegetais e derivados,7.25,0.00,7.54,9.75,0.72,0.06,,0.00,18.8,369,89,17.6,0.52,2.21,32.1,,5.36,9.41,0.05,217,1.45,,,0.01,0.00,0.94,1.64,0.07,82.7,265,530,0.00,0.10,9.40,0.00,0.36,3.64,0.70,0.79,0.00,0.00
