codigo,nome,categoria,kcal,proteina,carboidrato,gordura,fibra
C0113T,"Orelha-de-padre, semente, seca, remolho em água, cozida, drenada, s/ óleo, s/ sal, Lablab purpureus (L) Sweet,",Leguminosas e derivados,121,8.91,16.9,0.58,6.20
C0682B,"Lasanha, berinjela, c/ frios, caseira, c/ sal, (berinjela grelhada, c/ muçarela, presunto, c/ molho de tomate (tomate, c/ óleo, cebola e alho) c/ sal),",Vegetais e derivados,92,6.79,2.59,5.62,2.18
C0429N,"Papa de batata doce e banana, s/ açúcar,",Alimentos para fins especiais,101,1.06,22.4,0.18,2.49
C0058A,"Biscoito, salgado, água e sal, Tostines,",Cereais e derivados,442,11.4,64.5,14.7,2.90
C0100A,"Cereal matinal, milho,",Cereais e derivados,364,7.16,79.7,0.96,4.12
C1014B,"Salada, repolho branco, c/ maionese, c/ uva passa, s/ sal,",Vegetais e derivados,63,1.17,6.27,3.22,1.90
C0529A,"Arroz com lentilha, c/ arroz polido, s/ sal, (arroz polido, c/ lentilha, tomate, linguiça, c/ óleo, cebola e alho, s/ sal),",Cereais e derivados,145,5.24,18.1,5.26,2.24
C0592A,"Canelone, c/ muçarela, c/ molho branco, caseiro, c/ sal, (massa com farinha de trigo, c/ muçarela, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal),",Cereais e derivados,246,14.6,13.3,14.8,0.54
C0006A,"Milho, verde, grão, cru (média de diferentes amostras), Zea may,",Cereais e derivados,138,6.59,24.6,0.61,3.92
C0416B,"Salada, abóbora cabotian (japonesa) cozida, cebola, salsa, c/ azeite de oliva, s/ sal,",Vegetais e derivados,89,1.45,7.54,5.36,2.21
C0480E,"Peixe, água doce, Tucunaré, filé, congelado, frito (c/ óleo de soja), c/ sal, Cichla ocellaris spp.,",Pescados e Frutos do mar,251,24.0,0.00,17.2,0.00
C0516F,"Carne, boi, acém, s/ gordura, cozida, c/ pequi, pimentão, c/ óleo, cebola e alho, c/ noz moscada, c/ pimenta do reino, c/ sal,",Carnes e derivados,215,19.7,1.90,13.9,1.86
C0334E,"Mariscada, c/ sal, (mexilhão sururu, camarão, lula, polvo e ostra, tomate, pimentão, coentro, leite de coco, c/ azeite de dendê, c/ óleo, cebola e alho, c/ sal),",Pescados e Frutos do mar,134,13.2,3.28,6.34,1.44
C0732F,"Carne, boi, de segunda (acém, capa de contrafilé, costela, músculo, paleta, peito), cozida/grelhada/assada, s/ óleo, c/ sal, Bos taurus,",Carnes e derivados,254,28.4,0.00,15.7,0.00
C0102G,"Bebida, leite integral, c/ chocolate em pó (10%), c/ açúcar,",Bebidas,95,3.28,13.5,3.07,0.00
C0628A,"Ravioli, c/ carne moída refogada, s/ molho, caseiro, c/ sal, (massa com farinha de trigo, carne bovina, patinho moído, refogada, c/ óleo, cebolha e alho, c/ sal),",Cereais e derivados,166,7.77,27.9,2.25,1.49
C0346N,"Papa de carne bovina moída (acém), arroz e brócolis, c/ caldo de frango, c/ cebola e óleo de soja, s/ sal,",Alimentos para fins especiais,128,11.6,5.12,6.52,0.98
C0236A,"Macarrão, trigo, integral, c/ molho branco (leite, manteiga e farinha de trigo), s/ sal,",Cereais e derivados,137,5.01,21.5,2.79,2.86
C0582B,"Salada, alface crespa, c/ molho de salada - salsa, vinagre de maçã, azeite de oliva, c/ sal,",Vegetais e derivados,41,1.34,0.38,3.51,1.74
C0540N,"Papa de carne bovina moída (patinho), cará e brócolis, c/ caldo de carne, c/ cebola e óleo de soja, s/ sal,",Alimentos para fins especiais,116,13.7,3.89,4.75,1.26
C0035E,"Peixe, água salgada, abadejo, filé, congelado, cru,",Pescados e Frutos do mar,55,13.0,0.00,0.36,0.00
C0624N,"Papa de carne bovina moída (patinho), arroz branco e brócolis, c/ caldo de carne, c/ cebola e óleo de soja, c/ sal,",Alimentos para fins especiais,125,13.2,6.36,4.90,1.04
C0150T,"Quibe vegetariano com cenoura, s/ sal, (trigo para quibe e proteína de soja texturizada (hidratados com caldo de legumes), alho, cebola, cenoura, hortelã, c/ pimenta-do-reino, s/ sal),",Leguminosas e derivados,123,13.6,13.9,0.58,4.14
C0455N,"Papa de carne bovina moída (acém), cará e brócolis, c/ caldo de carne, c/ cebola e óleo de soja, c/ sal,",Alimentos para fins especiais,115,10.7,3.97,6.00,1.26
C0270B,"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal, Curcubita spp.,",Vegetais e derivados,32,1.38,2.28,1.33,2.50
C1159A,"Panqueca, c/ recheio de creme de avelã, s/ cobertura, (massa - leite, farinha de trigo e ovo, creme de avelã),",Cereais e derivados,410,6.95,44.7,21.8,3.37
C0076K,"Sagu, morango, mistura p/, preparada,",Produtos açucarados,122,0.00,30.4,,
C0091K,"Sagu, mandioca, preparado c/ vinho tinto, c/ açúcar,",Produtos açucarados,200,0.16,48.3,0.01,0.09
C0381N,"Creme de morango, c/ banana, c/ iogurte natural, s/ açúcar,",Alimentos para fins especiais,65,2.23,10.7,1.15,1.17
C1150A,"Risoto de carne bovina, c/ arroz polido, c/ sal, (arroz polido, carne bovina filé mignon, tomate, vinho branco, queijo parmesão, c/ azeite de oliva, manteiga, cebola e alho, c/ sal),",Cereais e derivados,204,17.3,9.33,10.3,0.60
C0028A,"Biscoito, doce, Maria, Marilan,",Cereais e derivados,434,9.30,73.4,10.8,2.80
C0152B,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal,",Vegetais e derivados,14,0.99,1.32,0.23,1.51
C0722A,"Arroz com frango e pequi, c/ arroz polido, c/ sal, (arroz polido, frango, pequi, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal),",Cereais e derivados,190,11.8,12.2,9.99,2.16
C0022J,"Ovo, galinha, gema, cozida/10 min., c/ sal,",Ovos e derivados,345,15.8,1.55,30.6,0.00
C0581B,"Salada, alface crespa, c/ molho de salada - salsa, suco de limão, azeite de oliva, c/ sal,",Vegetais e derivados,73,1.40,1.00,6.75,1.73
C1094A,"Macarrão, trigo integral, c/ carne bovina músculo, gratinado, c/ molho branco (manteiga, farinha de trigo e leite) e queijo parmesão, salsa, pimenta-do-reino, c/ sal,",Cereais e derivados,153,8.92,16.1,5.40,2.23
C0222F,"Bife à cavalo, s/ sal, (carne bovina contra-filé, ovo, c/ óleo, s/ sal),",Carnes e derivados,285,23.7,0.00,21.1,
C0063A,"Bolo, mistura p/, preparado (média de diferentes sabores),",Cereais e derivados,339,6.10,49.3,12.9,0.43
C0606A,"Macarrão, trigo, integral, c/ frango e cogumelos, c/ sal, (massa com trigo integral, peito de frango, cogumelo paris e shiitake, salsa, cebolinha, c/ óleo, cebola e alho, c/ sal),",Cereais e derivados,118,7.03,16.7,1.91,2.82
C0511F,"Carne, frango, peito, c/ batata, c/ óleo, cebola e alho, c/ sal,",Carnes e derivados,120,18.0,4.89,2.97,0.72
C0208F,"Salame, porco, lanche (média de vários tipos),",Carnes e derivados,401,26.0,2.45,31.9,
C0039F,"Carne, boi, lagarto, cozida, s/ óleo, s/ sal, Bos taurus,",Carnes e derivados,212,32.7,0.00,9.11,0.00
C1022B,"Couve-flor, c/ molho branco (farinha de trigo, manteiga e leite), queijo parmesão, c/ sal,",Vegetais e derivados,114,5.51,5.89,7.18,1.55
C0254E,"Moqueca de camarão, s/ sal, (camarão, tomate, pimentão, coentro, leite de coco, azeite de dendê, c/ óleo, cebola e alho, s/ sal),",Pescados e Frutos do mar,114,13.1,1.52,4.93,1.37
C1145B,"Cogumelo, refogado (c/ óleo de soja), cebola e alho, c/ sal (média de diferentes tipos),",Vegetais e derivados,59,2.62,6.69,1.60,3.63
C1145A,"Bolo, trigo, branco, simples, (farinha de trigo, leite, margarina, ovo, açúcar e fermento químico),",Cereais e derivados,429,7.17,54.9,19.9,0.83
C0169T,"Soja, proteína, texturizada, hidratada (c/ caldo de legumes), refogada, c/ óleo, cebola e alho, c/ sal,",Leguminosas e derivados,185,23.2,17.3,1.53,4.51
C0477E,"Peixe, água doce, Pirarucu, cultivado em Rondonia, cozido (a partir do peixe fresco), c/ cebolinha, alho, cúrcuma, pimenta-do-reino, c/ sal (média de peixes com diferentes pesos e cortes), Arapaima gigas,",Pescados e frutos do mar,133,25.4,0.08,3.38,0.04
C1071B,"Farofa, farinha de milho e cenoura, c/ sal, (farinha de milho, cenoura, salsinha e cebolinha, c/ pimenta do reino, c/ óleo de soja e cebola, c/ sal),",Vegetais e derivados,147,1.56,13.5,9.08,1.93
C0944A,"Macarrão de arroz, com legumes e carne suína, c/ molho shoyu, (macarrão de arroz, carne suína (lombo), acelga, broto de feijão, pimentão, cenoura, brócolis, cogumelo Paris, cebola, cebolinha, c/ óleo de gergelim, c/ molho shoyu),",Cereais e derivados,116,9.01,10.9,3.71,1.32
C0415N,"Papa de batata, cenoura e carne bovina moída (acém), c/ caldo de carne, c/ cebola, s/ óleo, s/ sal,",Alimentos para fins especiais,100,10.3,5.37,3.87,1.12
C0233E,"Peixe, água salgada, pescada, branca, assado/grelhado, c/ manteiga e cogumelos (paris, shiitake), c/ sal,",Pescados e Frutos do mar,150,16.2,1.54,8.66,0.42
C0650B,"Salada, vegetais cozidos, c/ azeite de oliva, c/ sal, (brócolis, cenoura e couve-flor cozidos, c/ azeite de oliva, c/ sal),",Vegetais e derivados,55,1.45,1.48,4.29,2.39
C0262A,"Sanduíche, misto quente, pão forma tradicional, c/ presunto, queijo muçarela, c/ manteiga,",Cereais e derivados,281,13.7,21.4,15.4,1.12
C0282A,"Sanduíche, queijo quente, pão francês, c/ queijo prato, c/ margarina,",Cereais e derivados,349,14.6,29.4,20.3,1.30
C0031B,"Pimentão, vários tipos, cru (média de diferentes amostras), Capsicum annuum L.,",Vegetais e derivados,24,1.10,3.57,0.27,1.67
C0719A,"Arroz com jambu, c/ arroz polido, s/ sal, (arroz polido, jambu, c/ óleo, cebola e alho, s/ sal),",Cereais e derivados,125,2.58,22.1,2.45,1.90
C0193B,"Salada, chuchu, s/ casca, cozido, c/ molho vinagrete (tomate, cebola, salsinha, vinagre e óleo), s/ sal, Sechium edule,",Vegetais e derivados,45,0.61,4.10,2.65,1.27
C0216C,"Suco natural, abacaxi e morango, s/ açúcar,",Frutas e derivados,17,0.34,3.13,0.17,0.65
C0433B,"Salada, c/ arroz integral, c/ azeite de oliva, s/ sal, (arroz integral, aipo (salsão), pimentão verde e vermelho, salsa, azeitona preta, vinagre de maçã, c/ azeite de oliva, s/ sal),",Vegetais e derivados,115,1.70,11.9,6.30,1.85
C1111B,"Salpicão de legumes, c/ sal, (batata, maçã, pimentão verde e vermelho, cenoura, noz, uva passa, cebola, aipo (salsão), maionese, creme de leite, molho de mostarda, pimenta do reino, c/ sal),",Vegetais e derivados,131,1.64,12.2,7.97,1.90
C0767A,"Sanduíche, pão forma integral, c/ alface, tomate, cenoura e pepino,",Cereais e derivados,134,5.87,22.7,1.36,3.70
C0176N,"Papa de carne bovina moída (patinho), fubá e couve, c/ caldo de frango, c/ cebola e óleo de soja, c/ sal,",Alimentos para fins especiais,64,2.21,7.18,2.47,1.92
C0987A,"Risole, recheado c/ brócolis e queijo muçarela, caseiro, frito, (farinha de trigo, leite, margarina, brócolis, queijo muçarela, farinha de rosca, ovo, c/ sal, frito (c/ óleo de soja)),",Cereais e derivados,335,11.2,29.2,18.9,1.78
C0967B,"Tomate, maduro, cozido, s/ óleo, s/ sal,",Vegetais e derivados,19,0.95,3.30,0.11,0.70
C0080F,"Croquete, carne, boi, industrializada, frita, c / sal, Bos taurus,",Carnes e derivados,344,16.9,18.1,22.7,
C0538A,"Arroz com salsicha, c/ arroz polido, c/ sal, (arroz polido, c/ salsicha, tomate, c/ óleo, cebola e alho, c/ sal),",Cereais e derivados,156,4.02,19.8,6.40,1.35
C0250T,"Falafel, c/ grão de bico, frito, s/ sal, (grão de bico, cebola, amido de milho, alho, azeite de oliva, cheiro verde, pimenta do reino, óleo para fritura, s/ sal),",Leguminosas e derivados,230,4.65,14.0,16.2,4.63
C0726F,"Hambúrguer, bovino, grelhado, c/ molho de tomate (tomate, c/ óleo de soja, cebola e alho, c/ sal),",Carnes e derivados,181,10.9,9.00,11.0,1.41
C0019D,"Óleo, abacate, Persea americana,",Gorduras e óleos,900,0.00,0.00,100.0,0.00
C0072R,"Sopa, creme de ervilha, c/ bacon, desidratada, Maggi,",Alimentos industrializados,332,10.1,62.4,3.70,4.10
C1029B,"Salada, repolho roxo, cru, c/ azeite de oliva, s/ sal,",Vegetais e derivados,57,1.18,3.06,4.06,1.61
C0027H,"Bebida, infusão, mentrasto, planta, folha, s/ açúcar, Ageratum conyzoides L.,",Bebidas,1,0.00,0.30,0.00,0.00
C0758F,"Carne, boi, fígado, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Bos taurus,",Carnes e derivados,189,24.2,4.19,8.26,0.51
C0951B,"Cogumelo, Paris, cozido, c/ salsa, pimenta-do-reino, c/ manteiga, c/ sal,",Vegetais e derivados,97,2.03,2.89,8.18,2.05
C0277C,"Banana, cozida, s/ manteiga, c/ açúcar (média de 5 tipos - Nanica (caturra ou dágua), da Terra, Maçã, Ouro e Prata),",Frutas e derivados,119,1.44,31.0,0.24,2.36
C0239B,"Taioba, folha, refogada (c/ óleo, cebola e alho), s/ sal, Xanthosoma sagittifolium Schott,",Vegetais e derivados,69,4.46,2.98,2.79,6.84
C0761A,"Sanduíche, pão sírio, c/ ricota e temperos, alface e tomate,",Cereais e derivados,171,7.97,28.1,2.67,1.51
C0766B,"Escondidinho de camarão, c/ sal, (mandioca (aipim, macaxeira), camarão refogado, tomate, salsa e queijo parmesão, c/ óleo, cebola e alho, c/ sal),",Vegetais e derivados,155,6.30,15.0,7.43,1.21
C0025H,"Bebida, infusão, malva-santa, planta, folha, s/ açúcar, Plectranthus barbatus Andr.,",Bebidas,1,0.00,0.30,0.00,0.00
C0274E,"Casquinha de caranguejo, s/ sal, (caranguejo, tomate, leite de coco, farinha de rosca, queijo parmesão, cebolinha, c/ azeite de dendê, c/ óleo, cebola e alho, c/ pimenta-do-reino, s/ sal),",Pescados e Frutos do mar,152,13.5,5.23,8.35,0.75
C0597F,"Carne, boi, filé mignon, s/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus,",Carnes e derivados,265,30.0,0.00,16.1,0.00
C1153A,"Quiche, quatro queijos, assado (massa brise (farinha de trigo, manteiga, gema, leite, c/ açúcar, c/ sal), creme de leite, ovo, queijos - parmesão, gorgonzola, provolone e muçarela, c/ sal),",Cereais e derivados,292,7.81,19.3,20.1,1.63
C0118K,"Pastel, frito, c/ recheio, brigadeiro,",Produtos açucarados,508,6.37,51.5,30.6,0.92
C0378A,"Sanduíche, pão forma integral, c/ presunto, queijo muçarela, c/ requeijão,",Cereais e derivados,241,14.6,18.1,11.8,2.03
C0960F,"Sopa, carne bovina, c/ macarrão, c/ vegetais, s/ sal, (carne bovina (músculo), c/ macarrão, c/ batata, abobrinha, espinafre, cenoura e purê de tomate, c/ caldo de carne, c/ óleo, cebola e alho, s/ sal),",Carnes e derivados,72,7.42,5.13,2.23,1.04
C0985B,"Salada, alface lisa, c/ molho vinagrete (tomate, cebola, salsa, vinagre, azeite de oliva), c/ sal,",Vegetais e derivados,21,1.60,0.54,0.93,2.19
C0284N,"Papa de peixe (pescada branca) e cará, c/ caldo de frango, c/ cebola e azeite de oliva, c/ sal,",Alimentos para fins especiais,99,8.71,5.80,4.29,1.00
C0979B,"Salada, pepino, cebola, c/ molho vinagrete (tomate, cebola, salsa, vinagre, azeite de oliva), c/ sal,",Vegetais e derivados,25,0.92,2.72,0.91,1.23
C0040C,"Suco, laranja, Baía, s/ açúcar, Citrus sinensis,",Frutas e derivados,38,0.65,8.74,,
C0492N,"Papa de carne bovina moída (patinho), abóbora (jerimum) e chuchu, c/ caldo de frango, c/ cebola e óleo de soja, s/ sal,",Alimentos para fins especiais,113,14.0,2.75,4.90,0.83
C0333N,"Papa de carne bovina (músculo), feijão preto, batata baroa (mandioquinha, salsa) e abóbora cabotian (japonesa), c/ caldo de frango, c/ cebola e azeite de oliva, s/ sal,",Alimentos para fins especiais,107,10.6,5.53,4.21,2.12
C0839B,"Tapioca, c/ leite condensado e coco,",Vegetais e derivados,314,1.95,59.5,7.31,0.94
C1017A,"Bolo, cassarola, c/ queijo, (farinha de trigo, açúcar, leite, leite de coco, manteiga, ovo, queijo parmesão e fermento químico),",Cereais e derivados,384,8.38,55.5,13.3,0.89
C0127G,"Mingau, farinha láctea, c/ leite integral,",Leite e derivados,156,5.48,24.3,4.00,0.67
C0148K,"Canudinho, c/ recheio de brigadeiro, c/ cobertura de chocolate, (farinha de trigo, ovo, leite, óleo de soja, brigadeiro e chocolate ao leite),",Produtos açucarados,385,8.07,61.5,11.7,0.78
C0297C,"Pajurá, polpa, in natura, Couepia bracteosa,",Frutas e derivados,136,2.23,31.3,0.19,0.00
C0825F,"Carne, frango, peito, refogada (c/ óleo, cebola e alho), c/ legumes (cenoura e vagem), s/ sal, Gallus gallus,",Carnes e derivados,91,15.5,1.51,2.30,1.20
C0024A,"Aveia, flocos, finos, Avena sativa,Float,",Cereais e derivados,379,15.6,55.0,8.60,9.50
C0306A,"Sanduíche, pão forma integral, c/ presunto, c/ manteiga,",Cereais e derivados,261,10.9,24.9,12.5,2.94
C0540B,"Salada, pimentão verde, amarelo e vermelho crus, c/ azeite de oliva, c/ sal,",Vegetais e derivados,59,1.01,3.34,4.22,1.59
C0113B,"Alho, refogado (c/ óleo de soja), s/ sal, Allium sativum,",Vegetais e derivados,433,8.09,32.0,29.3,4.54
C0047D,"Óleo, milho, frito, Zea mays,",Gorduras e óleos,900,0.00,0.00,100.0,0.00
C0037K,"Chantily, em pó, preparado, Chantineve,",Produtos açucarados,202,3.00,28.7,8.30,
C0508N,"Papa de mamão, banana e melão, s/ açúcar,",Alimentos para fins especiais,59,0.81,12.5,0.20,1.76
C0009J,"Ovo, galinha, gema, desidratada, pasteurizada,",Ovos e derivados,638,30.0,8.00,54.0,0.00
C0096E,"Peixe, água doce, Pintado, cozido, s/ óleo, s/ sal, Pseudoplatystoma corruscans,",Pescados e Frutos do mar,103,22.3,0.00,1.58,0.00
C0075R,"Torta, salgada, mistura p/, Oetker,",Alimentos industrializados,340,9.70,71.6,1.10,2.19
C0711F,"Carne, frango, caipira, inteiro, crua (média de amostras c/ e s/ pele), Gallus gallus,",Carnes e derivados,172,18.5,0.00,10.9,0.00
C0641A,"Rondele, ricota, s/ molho, caseiro, c/ sal, (massa com farinha de trigo, c/ ricota, c/ sal),",Cereais e derivados,147,9.83,14.6,5.29,0.65
C0789B,"Farofa, ovos, s/ sal, (farinha de mandioca (aipim, macaxeira), ovo, azeitona, salsa, c/ óleo, cebola e alho, s/ sal),",Vegetais e derivados,311,4.50,46.8,10.9,3.95
C0055F,"Carne, boi, alcatra, crua (média de amostras frescas, resfriada, congelada), Bos taurus,",Carnes e derivados,134,23.5,0.01,4.47,0.00
C0403A,"Trigo, grão, cru, Triticum spp.,",Cereais e derivados,337,10.7,62.7,1.99,12.7
C0045N,"Bebida, chá, lata/garrafa, limão, light, Lipton,",Alimentos para fins especiais,1,0.00,0.28,0.00,0.00
C0076N,"Lasanha, pronta, industrializada, light,",Alimentos para fins especiais,99,6.81,12.2,2.23,1.30
C0010U,"Coquetel de frutas secas, s/ casca, s/ sal, (uva passa, avelã, castanha do Brasil, amendoim torrado), Oetker,",Sementes e Oleaginosas,538,19.6,44.6,31.2,1.00
C0094G,"Mousse de peixe, (pescada cozida, gelatina s/ sabor, maionese, mostarda, creme de leite, salsa, c/ caldo de vegetais, c/ pimenta-do-reino, c/ sal),",Leite e derivados,174,11.8,4.16,12.2,0.12
C0022A,"Aveia, farinha, crua, Avena sativa,Mac Bits,",Cereais e derivados,370,14.9,56.7,7.00,10.3
C0461E,"Peixe, água salgada, sardinha, filé, frito (c/ óleo de soja), s/ sal, Sardinella brasiliensis,",Pescados e Frutos do mar,173,19.3,0.00,10.7,0.00
C0259E,"Camarão, Pitu, in natura, Macrobrachium wiegman,",Pescados e Frutos do mar,108,23.6,0.00,1.58,
C0322B,"Purê, batata, inglesa, s/ sal, (batata, leite, margarina, s/ sal), Solanum tuberosum L.,",Vegetais e derivados,68,1.67,10.4,1.97,1.27
C0043J,"Tortilha, s/ sal, (ovos mexidos, batata frita, salsa, cebolinha, pimenta-do-reino, c/ óleo, cebola e alho, s/ sal),",Ovos e derivados,216,6.93,15.6,13.3,3.34
C0091A,"Cereais, farinha, Neston,",Cereais e derivados,364,12.9,70.3,2.08,6.25
C0197N,"Papa de carne bovina moída (acém), macarrão e brócolis, c/ caldo de frango, c/ cebola e azeite de oliva, s/ sal,",Alimentos para fins especiais,126,11.8,4.86,6.37,0.93
C0938B,"Charuto de repolho, c/ peito de frango, c/ molho de tomate, s/ sal, (repolho branco, recheado com arroz e peito de frango refogado, c/ molho de tomate  (tomate, c/ óleo, cebolha e alho), s/ sal),",Vegetais e derivados,85,7.43,7.65,2.39,1.30
C0164C,"Suco, tangerina, c/ açúcar,",Frutas e derivados,45,0.20,11.1,,0.00
C0282F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, s/ óleo, c/ sal,",Carnes e derivados,223,31.9,0.49,10.3,0.00
C1049B,"Purê, batata inglesa, abóbora (jerimum), c/ manteiga, leite, s/ sal,",Vegetais e derivados,75,1.40,5.86,4.71,1.65
C0895F,"Dobradinha, c/ feijão branco, bucho bovino, batata, cenoura, tomate, pimentão, cebolinha e salsinha, c/ óleo, cebola e alho, s/ sal,",Carnes e derivados,74,6.41,6.17,2.23,1.84
C1060A,"Sanduíche, hambúrguer frango grelhado (c/ pão hambúrguer), c/ queijo muçarelca, alface, tomate e maionese,",Cereais e derivados,240,10.6,22.0,11.9,1.19
C1006F,"Carne, rã, coxa e dorso, crua, Rana catesbeiana,",Carnes e derivados,82,18.1,0.00,1.09,0.00
C0043H,"Bebida, café, c/ leite (meio a meio), c/ açúcar,",Bebidas,59,1.72,9.42,1.55,0.00
C0526B,"Salada, pepino, s/ óleo, s/ sal,",Vegetais e derivados,10,0.70,1.20,0.09,1.04
C0012K,"Cocada, branca,",Produtos açucarados,445,1.12,77.8,13.6,3.57
C0199A,"Pizza, massa, assada, (farinha de trigo, óleo, fermento biológico, sal e açúcar),",Cereais e derivados,326,9.37,60.6,4.72,1.99
C0149B,"Almeirão, refogado (c/ óleo, cebola e alho), c/ sal,",Vegetais e derivados,86,1.68,1.08,7.20,5.07
C0098G,"Bebida, leite desnatado, c/ chocolate em pó (10%), c/ açúcar,",Bebidas,73,3.32,13.5,0.65,0.00
C0908F,"Carne, frango, pé, cozido, c/ óleo de soja, cebola e alho, c/ sal, Gallus gallus,",Carnes e derivados,212,18.6,0.75,15.0,0.12
C0913F,"Carne, porco, pé, cozido, s/ óleo, c/ sal,",Carnes e derivados,231,21.8,0.00,16.0,0.00
C0083H,"Bebida, café - infusão 6% - suave, c/ leite desnatado (meio a meio),  s/ açúcar,",Bebidas,22,1.69,3.48,0.20,0.00
C0287N,"Papa de peixe (pescada branca) e cará, c/ caldo de frango, c/ cebola e azeite de oliva, s/ sal,",Alimentos para fins especiais,99,8.72,5.82,4.29,1.01
C0297F,"Carne, boi, contra-filé, grelhado/frito, c/ óleo e cebola, s/ sal,",Carnes e derivados,317,26.9,0.44,23.1,0.12
C0096H,"Bebida, café descafeinado - infusão 6% - suave, c/ leite (meio a meio), ""média"", c/ açúcar,",Bebidas,60,1.53,3.14,1.71,0.26
C0793F,"Carne, peru, coxa, s/ pele, cozida, drenada, s/ óleo, c/ sal, Meleagris gallopavo,",Carnes e derivados,189,23.5,0.00,10.6,0.00
C0203E,"Peixe, água salgada, salmão, filé, s/ pele, cozido, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal, Salmo salar L.,",Pescados e Frutos do mar,200,19.6,4.01,11.7,0.05
C0063E,"Peixe, água salgada, merluza, filé, cru, Merlucius hubbsi,",Pescados e Frutos do mar,83,16.2,0.02,2.02,0.00
C0029L,"Mostarda, molho,",Miscelâneas,60,3.74,1.83,3.34,4.00
C0515B,"Salada, cenoura cozida, cebola, s/ óleo, s/ sal,",Vegetais e derivados,24,0.89,3.57,0.18,2.14
